Source,Target,Type,Weight
138707765,75754890,Undirected,1
138707765,84398348,Undirected,1
138707765,38845463,Undirected,1
138707765,133812089,Undirected,1
138707765,88721968,Undirected,1
138707765,365331645,Undirected,1
138707765,86755680,Undirected,1
138707765,130649573,Undirected,1
138707765,34439254,Undirected,1
138707765,117163193,Undirected,1
138707765,127372276,Undirected,1
138707765,406788626,Undirected,1
138707765,157646143,Undirected,1
138707765,202492238,Undirected,1
138707765,126318478,Undirected,1
138707765,117386534,Undirected,1
138707765,145151602,Undirected,1
138707765,316492629,Undirected,1
138707765,312937453,Undirected,1
138707765,117891413,Undirected,1
138707765,100016853,Undirected,1
138707765,113809464,Undirected,1
138707765,128766301,Undirected,1
138707765,237680966,Undirected,1
138707765,155249606,Undirected,1
138707765,339686418,Undirected,1
138707765,159171556,Undirected,1
138707765,91821411,Undirected,1
138707765,180407974,Undirected,1
344839250,44967732,Undirected,41
344839250,138707765,Undirected,41
344839250,83615933,Undirected,41
344839250,102309164,Undirected,41
344839250,394415595,Undirected,41
102309164,44967732,Undirected,42
102309164,138707765,Undirected,41
102309164,83615933,Undirected,41
102309164,344839250,Undirected,41
102309164,394415595,Undirected,41
102309164,174616480,Undirected,2
102309164,411030166,Undirected,2
102309164,126476835,Undirected,2
102309164,451651840,Undirected,2
102309164,423384332,Undirected,1
102309164,159325444,Undirected,1
102309164,172418199,Undirected,1
102309164,16818654,Undirected,1
102309164,251167608,Undirected,1
102309164,466525634,Undirected,1
102309164,136553160,Undirected,1
102309164,320319530,Undirected,1
102309164,161709356,Undirected,1
102309164,127940719,Undirected,1
102309164,334052430,Undirected,1
102309164,160051537,Undirected,1
102309164,71336153,Undirected,1
102309164,197624930,Undirected,2
102309164,134961568,Undirected,1
102309164,290317290,Undirected,2
102309164,171344120,Undirected,1
102309164,308728665,Undirected,1
102309164,187685385,Undirected,1
102309164,202980924,Undirected,1
102309164,104989840,Undirected,1
102309164,105798141,Undirected,1
102309164,102453465,Undirected,1
102309164,19740704,Undirected,1
102309164,63833378,Undirected,1
102309164,211496914,Undirected,1
102309164,295132731,Undirected,1
102309164,173793795,Undirected,1
102309164,396880173,Undirected,1
102309164,214391063,Undirected,1
102309164,309431483,Undirected,1
102309164,163231643,Undirected,1
102309164,372338779,Undirected,1
102309164,116123915,Undirected,1
102309164,167911929,Undirected,1
102309164,165566717,Undirected,1
102309164,171345152,Undirected,1
102309164,301073457,Undirected,1
102309164,219333594,Undirected,1
102309164,171530673,Undirected,1
102309164,5683907,Undirected,1
102309164,106035649,Undirected,1
102309164,77516778,Undirected,1
102309164,95619728,Undirected,1
102309164,374696015,Undirected,1
102309164,259501236,Undirected,1
102309164,419785596,Undirected,1
102309164,44987638,Undirected,1
102309164,111642370,Undirected,1
394415595,44967732,Undirected,41
394415595,138707765,Undirected,41
394415595,83615933,Undirected,41
394415595,344839250,Undirected,41
394415595,102309164,Undirected,41
394415595,54644740,Undirected,1
394415595,61013923,Undirected,1
